=== UNITY CONSOLE LOG ===
Session started: 7/14/2025 5:23:21 PM
Unity Version: 6000.0.45f1
Platform: WindowsEditor

[17:23:28.045] [5.260s] [INFO] Heuristic: No actions available
[17:23:28.064] [5.280s] [INFO] Heuristic: No actions available
[17:23:28.085] [5.300s] [INFO] Heuristic: No actions available
[17:23:28.090] [5.306s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 2: Waypoint (2)
[17:23:28.104] [5.320s] [INFO] Heuristic: No actions available
[17:23:28.125] [5.340s] [INFO] Heuristic: No actions available
[17:23:28.145] [5.360s] [INFO] Observations - Money: 0, Lives: 20, Wave: 0, Enemies: 3
[17:23:28.145] [5.360s] [INFO] Heuristic: No actions available

=== LOG SESSION ENDED: 7/14/2025 5:23:28 PM ===
